company_name,job_title,location,salaries,description
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Sierra Nevada Corporation,Data Scientist II,"Herndon, VA","$72,000 - $106,000 a year (Indeed est.)","Data scientists work in a horizontal role, partnering and collaborating with groups across the entire organization...."
Apple,Computational support for Machine Learning and LSTM,"Santa Clara Valley, CA",,You will work in a cross functional team which is implementing innovative and state of the art routines to support the necessary computation for such things as...
Expedia,Brand Analytics Data Scientist II,"Bellevue, WA",,Brand Analytics Data Scientist II. You have a deep understanding of advanced statistical modeling and/or machine learning techniques and have frequently applied...
USAA,Data Scientist I,"San Antonio, TX","$97,000 - $143,000 a year (Indeed est.)","Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;..."
University of California San Francisco,Data Scientist,"San Francisco, CA","$96,000 - $141,000 a year (Indeed est.)","The Arnaout laboratory studies deep and machine learning for biomedical imaging and related clinical data, with the goals of decreasing diagnostic error and..."
PepsiCo,Data Scientist,"New York, NY","$101,000 - $149,000 a year (Indeed est.)","PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build..."
Microsoft,Data Scientist,"Redmond, WA","$84,000 - $125,000 a year (Indeed est.)",We are looking for data scientists who are passionate about data and want to apply machine learning techniques to solve real-world problems at cloud scale....
Apple,"Siri - Embedded Data Scientist, Data Organization","Santa Clara Valley, CA",,"Build analytic, visualization, and other information products with a drive to automate and scale the insights available to science and engineering teams...."
Virginia Dept of Transportation,Data Scientist,"Richmond, VA","$72,568 - $115,000 a year","Work with a variety of different types of datasets, and include data processing, data cleaning and validation, data reconciliation and expansion, classical..."
Spotify,Data Scientist – Personalization,"New York, NY","$117,000 - $172,000 a year (Indeed est.)","Mentor and coach other data scientists. We are seeking a Data Scientist to join our Product Insights team, focusing on Personalization...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
